freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.198e+03,2.057e+01,2.617e+01,4.245e+03
1.6,2.342e+04,7.413e+01,1.291e+02,2.363e+04
3.2,8.409e+03,6.374e+01,1.291e+02,8.602e+03
4.7,4.394e+03,5.275e+01,1.301e+02,4.576e+03
6.3,4.603e+03,5.814e+01,1.462e+02,4.807e+03
7.9,4.882e+03,6.318e+01,1.368e+02,5.082e+03
9.5,6.205e+03,6.879e+01,1.429e+02,6.417e+03
11.1,7.337e+03,6.367e+01,1.575e+02,7.558e+03
12.7,9.559e+03,8.736e+01,1.376e+02,9.784e+03
14.2,1.083e+04,2.356e+02,1.539e+02,1.122e+04
15.8,1.035e+04,3.140e+02,1.684e+02,1.083e+04
17.4,9.832e+03,1.702e+02,2.265e+02,1.023e+04
19.0,1.229e+04,1.092e+02,3.254e+02,1.273e+04
20.6,1.587e+04,9.041e+01,4.128e+02,1.638e+04
22.2,1.994e+04,8.795e+01,4.643e+02,2.049e+04
23.7,2.429e+04,1.005e+02,6.078e+02,2.500e+04
25.3,2.830e+04,1.381e+02,6.948e+02,2.913e+04
26.9,3.640e+04,2.027e+02,1.003e+03,3.761e+04
28.5,4.228e+04,2.708e+02,1.212e+03,4.377e+04
30.1,4.297e+04,2.482e+02,9.390e+02,4.416e+04
31.7,5.019e+04,2.144e+02,5.523e+02,5.096e+04
33.2,6.316e+04,2.574e+02,3.909e+02,6.381e+04
34.8,7.443e+04,3.246e+02,3.764e+02,7.513e+04
36.4,9.110e+04,3.221e+02,4.113e+02,9.183e+04
38.0,1.134e+05,4.670e+02,5.153e+02,1.144e+05
39.6,1.285e+05,6.726e+02,5.096e+02,1.296e+05
41.2,1.364e+05,1.075e+03,5.255e+02,1.380e+05
42.7,1.709e+05,1.889e+03,9.636e+02,1.737e+05
44.3,2.453e+05,1.590e+03,1.310e+03,2.482e+05
45.9,3.032e+05,1.446e+03,9.827e+02,3.056e+05
47.5,4.150e+05,4.904e+03,6.670e+02,4.206e+05
49.1,4.725e+05,7.839e+03,6.066e+02,4.809e+05
50.7,6.944e+05,6.148e+03,7.189e+02,7.013e+05
52.2,9.327e+05,5.875e+03,1.205e+03,9.397e+05
53.8,1.311e+06,1.599e+04,2.089e+03,1.329e+06
55.4,1.532e+06,2.235e+04,2.778e+03,1.558e+06
57.0,1.945e+06,1.844e+04,5.042e+03,1.969e+06
58.6,2.941e+06,2.823e+04,7.484e+03,2.977e+06
60.2,3.020e+06,3.311e+04,7.196e+03,3.060e+06
61.7,2.241e+06,3.025e+04,8.409e+03,2.280e+06
63.3,1.413e+06,2.028e+04,9.652e+03,1.443e+06
64.9,1.327e+06,1.644e+04,9.980e+03,1.354e+06
66.5,1.022e+06,1.478e+04,5.533e+03,1.043e+06
68.1,9.938e+05,1.356e+04,3.717e+03,1.011e+06
69.7,8.798e+05,8.696e+03,3.873e+03,8.924e+05
71.2,5.904e+05,7.080e+03,6.609e+03,6.041e+05
72.8,7.108e+05,7.226e+03,9.759e+03,7.277e+05
74.4,5.436e+05,5.612e+03,8.225e+03,5.574e+05
76.0,4.072e+05,5.278e+03,8.713e+03,4.212e+05
