freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.207e+01,5.828e+03,1.137e+02,5.964e+03
1.6,9.287e+01,2.693e+04,3.016e+02,2.732e+04
3.2,9.818e+01,1.122e+04,3.065e+02,1.163e+04
4.8,9.506e+01,7.056e+03,2.711e+02,7.422e+03
6.3,1.087e+02,6.005e+03,2.678e+02,6.381e+03
7.9,1.091e+02,6.685e+03,3.215e+02,7.116e+03
9.5,1.099e+02,7.628e+03,3.163e+02,8.054e+03
11.1,1.224e+02,9.345e+03,3.117e+02,9.779e+03
12.7,1.348e+02,1.299e+04,3.636e+02,1.349e+04
14.3,3.574e+02,1.473e+04,3.760e+02,1.547e+04
15.8,6.444e+02,1.403e+04,3.063e+02,1.498e+04
17.4,4.913e+02,1.510e+04,3.503e+02,1.594e+04
19.0,3.246e+02,1.529e+04,4.073e+02,1.603e+04
20.6,2.728e+02,1.691e+04,4.192e+02,1.760e+04
22.2,3.868e+02,2.320e+04,5.530e+02,2.414e+04
23.8,6.931e+02,2.837e+04,6.116e+02,2.967e+04
25.3,1.335e+03,3.534e+04,8.131e+02,3.749e+04
26.9,2.131e+03,4.151e+04,1.143e+03,4.478e+04
28.5,1.874e+03,4.636e+04,1.096e+03,4.933e+04
30.1,1.087e+03,5.625e+04,7.955e+02,5.813e+04
31.7,6.187e+02,7.787e+04,6.081e+02,7.910e+04
33.3,4.317e+02,9.623e+04,5.574e+02,9.722e+04
34.8,4.391e+02,1.215e+05,5.870e+02,1.225e+05
36.4,4.605e+02,1.491e+05,6.925e+02,1.503e+05
38.0,5.433e+02,1.922e+05,9.190e+02,1.937e+05
39.6,6.221e+02,2.428e+05,1.530e+03,2.449e+05
41.2,1.082e+03,2.665e+05,2.126e+03,2.697e+05
42.8,2.081e+03,3.766e+05,3.096e+03,3.818e+05
44.3,1.947e+03,5.369e+05,3.494e+03,5.423e+05
45.9,1.121e+03,7.228e+05,2.577e+03,7.265e+05
47.5,7.307e+02,1.127e+06,2.785e+03,1.131e+06
49.1,5.105e+02,1.742e+06,5.798e+03,1.749e+06
50.7,5.872e+02,2.690e+06,7.689e+03,2.698e+06
52.3,6.302e+02,5.453e+06,1.070e+04,5.464e+06
53.8,6.872e+02,1.182e+07,2.245e+04,1.184e+07
55.4,5.426e+02,8.550e+06,4.273e+04,8.593e+06
